num,corner,vdd,i25,imax,imin,ppm
0,tt,3.3,2.25191E-05,3.01127E-05,1.67484E-05,3168.77
1,hl,3.3,1.87673E-05,2.48751E-05,1.40697E-05,3082.83
2,lh,3.3,2.79916E-05,3.78498E-05,2.06112E-05,3276.37
3,tt,3.0,2.25118E-05,3.0104E-05,1.67416E-05,3169.36
4,ss,3.0,2.26429E-05,3.03733E-05,1.67932E-05,3199.1
5,ff,3.0,2.23846E-05,2.98389E-05,1.66935E-05,3138.87
6,sf,3.0,2.24586E-05,2.99515E-05,1.67215E-05,3149.58
7,fs,3.0,2.25635E-05,3.02431E-05,1.67624E-05,3186.54
8,tt,3.6,2.25272E-05,3.01219E-05,1.6756E-05,3168.01
9,ss,3.6,2.26584E-05,3.03912E-05,1.68075E-05,3197.76
10,ff,3.6,2.24003E-05,2.98571E-05,1.67083E-05,3137.47
11,sf,3.6,2.24742E-05,2.99697E-05,1.67361E-05,3148.21
12,fs,3.6,2.25788E-05,3.02608E-05,1.67767E-05,3185.21
